user_genome	classification	closest_genome_reference	closest_genome_reference_radius	closest_genome_taxonomy	closest_genome_ani	closest_genome_af	closest_placement_reference	closest_placement_radius	closest_placement_taxonomy	closest_placement_ani	closest_placement_af	pplacer_taxonomy	classification_method	note	other_related_references(genome_id,species_name,radius,ANI,AF)	msa_percent	translation_table	red_value	warnings
F_bin_119750	d__Bacteria;p__Desulfobacterota;c__Desulfovibrionia;o__Desulfovibrionales;f__Desulfovibrionaceae;g__Taurinivorans;s__Taurinivorans sp020024815	GCA_020024815.1	95.0	d__Bacteria;p__Desulfobacterota;c__Desulfovibrionia;o__Desulfovibrionales;f__Desulfovibrionaceae;g__Taurinivorans;s__Taurinivorans sp020024815	97.68	0.882	GCA_020024815.1	95.0	d__Bacteria;p__Desulfobacterota;c__Desulfovibrionia;o__Desulfovibrionales;f__Desulfovibrionaceae;g__Taurinivorans;s__Taurinivorans sp020024815	97.68	0.882	d__Bacteria;p__Desulfobacterota;c__Desulfovibrionia;o__Desulfovibrionales;f__Desulfovibrionaceae;g__Taurinivorans;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_029258655.1, s__Taurinivorans sp029258655, 95.0, 86.1, 0.459	94.54	11	N/A	N/A
F_bin_120636	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Sarcina;s__Sarcina perfringens	GCF_000013285.1	95.0	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Sarcina;s__Sarcina perfringens	98.05	0.816	GCF_000013285.1	95.0	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Sarcina;s__Sarcina perfringens	98.05	0.816	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Sarcina;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCF_029258205.1, s__Sarcina sp029258205, 95.0, 92.77, 0.63; GCF_029267215.1, s__Sarcina sp029267215, 95.0, 86.75, 0.219	68.98	11	N/A	Genome has more than 10.8% of markers with multiple hits
F_bin_120655	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Clostridium;s__Clostridium moniliforme	GCF_017873235.1	95.0	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Clostridium;s__Clostridium moniliforme	98.97	0.911	GCF_017873235.1	95.0	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Clostridium;s__Clostridium moniliforme	98.97	0.911	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Clostridium;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCF_030813415.1, s__Clostridium multiforme, 95.0, 93.2, 0.826; GCF_016907995.1, s__Clostridium sardiniense, 95.0, 83.06, 0.309; GCF_000498355.1, s__Clostridium sp000498355, 95.0, 82.15, 0.264; GCF_030532265.1, s__Clostridium sp030532265, 95.0, 81.74, 0.233; GCF_900461085.1, s__Clostridium baratii, 95.0, 81.65, 0.207; GCF_002025815.1, s__Clostridium baratii_A, 95.0, 81.44, 0.21	83.61	11	N/A	N/A
F_bin_121093	d__Bacteria;p__Bacillota_I;c__Bacilli_A;o__Erysipelotrichales;f__Coprobacillaceae;g__Faecalibacillus;s__Faecalibacillus intestinalis	GCF_003024685.1	95.0	d__Bacteria;p__Bacillota_I;c__Bacilli_A;o__Erysipelotrichales;f__Coprobacillaceae;g__Faecalibacillus;s__Faecalibacillus intestinalis	96.06	0.742	GCF_003024685.1	95.0	d__Bacteria;p__Bacillota_I;c__Bacilli_A;o__Erysipelotrichales;f__Coprobacillaceae;g__Faecalibacillus;s__Faecalibacillus intestinalis	96.06	0.742	d__Bacteria;p__Bacillota_I;c__Bacilli_A;o__Erysipelotrichales;f__Coprobacillaceae;g__Faecalibacillus;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_958421935.1, s__Faecalibacillus sp900544435, 95.0, 93.02, 0.702; GCF_003024675.1, s__Faecalibacillus faecis, 95.0, 90.34, 0.584; GCA_030540195.1, s__Faecalibacillus sp030540195, 95.0, 89.53, 0.542	90.57	11	N/A	N/A
F_bin_122296	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Peptostreptococcales;f__Peptostreptococcaceae;g__Paraclostridium;s__Paraclostridium sordellii	GCF_000953675.1	95.0	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Peptostreptococcales;f__Peptostreptococcaceae;g__Paraclostridium;s__Paraclostridium sordellii	98.08	0.901	GCF_000953675.1	95.0	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Peptostreptococcales;f__Peptostreptococcaceae;g__Paraclostridium;s__Paraclostridium sordellii	98.08	0.901	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Peptostreptococcales;f__Peptostreptococcaceae;g__Paraclostridium;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCF_014306135.1, s__Paraclostridium hominis, 95.0, 87.86, 0.369; GCF_019916025.1, s__Paraclostridium bifermentans, 96.17, 85.41, 0.249; GCF_012922555.1, s__Paraclostridium dentum, 95.01, 85.33, 0.244; GCF_001006285.1, s__Paraclostridium benzoelyticum, 95.0, 85.2, 0.218; GCF_030815085.1, s__Paraclostridium ghonii, 95.0, 85.09, 0.222; GCA_017425305.1, s__Paraclostridium sp017425305, 95.0, 83.05, 0.172	77.06	11	N/A	Genome has more than 11.7% of markers with multiple hits
F_bin_123672	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Evtepia;s__Evtepia sp934597725	GCA_934597725.1	95.0	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Evtepia;s__Evtepia sp934597725	96.65	0.823	GCA_934597725.1	95.0	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Evtepia;s__Evtepia sp934597725	96.65	0.823	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Evtepia;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_004554585.1, s__Evtepia sp004554585, 95.0, 87.31, 0.332; GCA_019115225.1, s__Evtepia faecigallinarum, 95.0, 87.26, 0.328; GCA_022764045.1, s__Evtepia sp022764045, 95.0, 85.78, 0.205; GCA_019115545.1, s__Evtepia faecavium, 95.0, 85.68, 0.208; GCA_004556345.1, s__Evtepia sp004556345, 95.0, 85.42, 0.158; GCA_019118615.1, s__Evtepia excrementipullorum, 95.0, 85.39, 0.173; GCA_004551945.1, s__Evtepia sp004551945, 95.0, 85.03, 0.168; GCA_016296565.1, s__Evtepia sp016296565, 95.0, 84.66, 0.15; GCF_003425665.1, s__Evtepia gabavorous, 95.0, 84.65, 0.178; GCA_030535235.1, s__Evtepia sp030535235, 95.0, 84.63, 0.156; GCA_934572535.1, s__Evtepia sp934572535, 95.0, 84.36, 0.154	73.96	11	N/A	N/A
F_bin_123998	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__	taxonomic classification fully defined by topology	classification based on placement in class-level tree	N/A	71.84	11	0.98346	N/A
F_bin_124069	d__Bacteria;p__Bacillota_B;c__Peptococcia;o__Peptococcales;f__Peptococcaceae;g__UMGS1590;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Bacillota_B;c__Peptococcia;o__Peptococcales;f__Peptococcaceae;g__UMGS1590;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	GCA_900553245.1, s__UMGS1590 sp900553245, 95.0, 85.43, 0.343; GCA_900759105.1, s__UMGS1590 sp900759105, 95.0, 81.25, 0.25	75.35	11	0.96991	N/A
F_bin_124563	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Marinifilaceae;g__Odoribacter;s__Odoribacter sp945900015	GCA_945900015.1	95.0	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Marinifilaceae;g__Odoribacter;s__Odoribacter sp945900015	97.95	0.77	GCA_945900015.1	95.0	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Marinifilaceae;g__Odoribacter;s__Odoribacter sp945900015	97.95	0.77	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Marinifilaceae;g__Odoribacter;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_934725835.1, s__Odoribacter sp934725835, 95.0, 85.06, 0.278; GCA_020024465.1, s__Odoribacter sp020024465, 95.0, 83.45, 0.35	96.35	11	N/A	N/A
F_bin_130387	d__Bacteria;p__Actinomycetota;c__Coriobacteriia;o__Coriobacteriales;f__Eggerthellaceae;g__Slackia;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Actinomycetota;c__Coriobacteriia;o__Coriobacteriales;f__Eggerthellaceae;g__Slackia;s__	taxonomic classification fully defined by topology	classification based on placement in class-level tree	N/A	87.55	11	0.96386	N/A
F_bin_131681	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Alitiscatomonas;s__Alitiscatomonas aceti	GCF_025567195.1	95.0	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Alitiscatomonas;s__Alitiscatomonas aceti	96.79	0.877	GCF_025567195.1	95.0	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Alitiscatomonas;s__Alitiscatomonas aceti	96.79	0.877	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Alitiscatomonas;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_905215775.1, s__Alitiscatomonas sp905215775, 95.0, 92.05, 0.713	73.33	11	N/A	N/A
F_bin_132068	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Negativibacillus;s__	N/A	N/A	N/A	N/A	N/A	GCA_900547015.1	95.0	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Negativibacillus;s__Negativibacillus sp900547015	89.42	0.59	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Negativibacillus;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	N/A	76.52	11	0.99366	Genome not assigned to closest species as it falls outside its pre-defined ANI radius
F_bin_135175	d__Bacteria;p__Bacillota_I;c__Bacilli_A;o__RF39;f__UBA660;g__UBA3789;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Bacillota_I;c__Bacilli_A;o__RF39;f__UBA660;g__UBA3789;s__	taxonomic classification fully defined by topology	classification based on placement in class-level tree	N/A	86.1	11	0.9172	N/A
F_bin_137434	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Blautia_A;s__Blautia_A sp937880195	GCF_937880195.1	95.0	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Blautia_A;s__Blautia_A sp937880195	98.33	0.892	GCF_937880195.1	95.0	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Blautia_A;s__Blautia_A sp937880195	98.33	0.892	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Blautia_A;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCF_900541985.1, s__Blautia_A sp900541985, 95.0, 83.28, 0.154; GCA_021771755.1, s__Blautia_A sp021771755, 95.0, 82.63, 0.164; GCA_026169535.1, s__Blautia_A sp026169535, 95.0, 82.49, 0.15	66.02	11	N/A	N/A
F_bin_141901	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Blautia_A;s__Blautia_A sp026169535	GCA_026169535.1	95.0	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Blautia_A;s__Blautia_A sp026169535	97.27	0.794	GCA_026169535.1	95.0	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Blautia_A;s__Blautia_A sp026169535	97.27	0.794	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Blautia_A;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_900551465.1, s__Blautia_A sp900551465, 95.0, 95.14, 0.721; GCA_900553515.1, s__Blautia_A sp900553515, 95.0, 91.14, 0.656; GCA_021771755.1, s__Blautia_A sp021771755, 95.0, 88.24, 0.583; GCF_900541985.1, s__Blautia_A sp900541985, 95.0, 87.23, 0.448; GCF_024622975.1, s__Blautia_A caecimuris, 95.0, 83.16, 0.188; GCF_028767025.1, s__Blautia_A sp028767025, 95.0, 82.67, 0.171; GCF_937880195.1, s__Blautia_A sp937880195, 95.0, 82.59, 0.179	83.75	11	N/A	N/A
F_bin_145177	d__Bacteria;p__Actinomycetota;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella;s__	N/A	N/A	N/A	N/A	N/A	GCF_000225705.1	95.0	d__Bacteria;p__Actinomycetota;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella;s__Collinsella tanakaei	88.62	0.539	d__Bacteria;p__Actinomycetota;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	N/A	87.9	11	0.98741	Genome not assigned to closest species as it falls outside its pre-defined ANI radius
F_bin_145633	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Faecalimonas;s__Faecalimonas sp900550235	GCA_900550235.1	95.0	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Faecalimonas;s__Faecalimonas sp900550235	96.47	0.67	GCA_900550235.1	95.0	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Faecalimonas;s__Faecalimonas sp900550235	96.47	0.67	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Faecalimonas;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	N/A	71.6	11	N/A	N/A
F_bin_146338	d__Bacteria;p__Bacillota_I;c__Bacilli_A;o__RFN20;f__CAG-826;g__Onthovivens;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Bacillota_I;c__Bacilli_A;o__RFN20;f__CAG-826;g__Onthovivens;s__	taxonomic classification fully defined by topology	classification based on placement in class-level tree	N/A	76.44	11	0.93704	N/A
F_bin_147199	d__Bacteria;p__Bacillota_I;c__Bacilli_A;o__Erysipelotrichales;f__Coprobacillaceae;g__CALDMQ01;s__CALDMQ01 sp937917505	GCA_937917505.1	95.0	d__Bacteria;p__Bacillota_I;c__Bacilli_A;o__Erysipelotrichales;f__Coprobacillaceae;g__CALDMQ01;s__CALDMQ01 sp937917505	97.75	0.872	GCA_937917505.1	95.0	d__Bacteria;p__Bacillota_I;c__Bacilli_A;o__Erysipelotrichales;f__Coprobacillaceae;g__CALDMQ01;s__CALDMQ01 sp937917505	97.75	0.872	d__Bacteria;p__Bacillota_I;c__Bacilli_A;o__Erysipelotrichales;f__Coprobacillaceae;g__;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	N/A	92.12	11	N/A	N/A
F_bin_14801	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Laedolimicola;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Laedolimicola;s__	taxonomic classification fully defined by topology	classification based on placement in class-level tree	N/A	86.97	11	0.93915	N/A
F_bin_152197	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Faecalimonas;s__Faecalimonas umbilicata	GCF_004346095.1	95.0	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Faecalimonas;s__Faecalimonas umbilicata	98.39	0.867	GCF_004346095.1	95.0	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Faecalimonas;s__Faecalimonas umbilicata	98.39	0.867	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Faecalimonas;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_900546325.1, s__Faecalimonas sp900546325, 95.0, 87.81, 0.566; GCA_026169575.1, s__Faecalimonas sp026169575, 95.0, 85.72, 0.372	86.34	11	N/A	N/A
F_bin_1530	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__UBA932;g__Cryptobacteroides;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__UBA932;g__Cryptobacteroides;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	GCA_900546395.1, s__Cryptobacteroides sp900546395, 95.0, 94.25, 0.641; GCA_937890845.1, s__Cryptobacteroides sp937890845, 95.0, 88.22, 0.411	69.83	11	0.98717	Genome not assigned to closest species as it falls outside its pre-defined ANI radius
F_bin_157399	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__Lactobacillus johnsonii	GCF_000159355.1	95.4	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__Lactobacillus johnsonii	99.26	0.914	GCF_000159355.1	95.4	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__Lactobacillus johnsonii	99.26	0.914	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_946579245.1, s__Lactobacillus sp946579245, 95.0, 97.81, 0.5; GCA_945980025.1, s__Lactobacillus sp945980025, 95.0, 96.69, 0.485; GCA_947171515.1, s__Lactobacillus sp947171515, 95.23, 96.04, 0.583; GCF_910589675.1, s__Lactobacillus sp910589675, 95.0, 95.19, 0.539; GCF_013487865.1, s__Lactobacillus johnsonii_A, 95.18, 95.08, 0.833; GCF_910589175.1, s__Lactobacillus sp910589175, 95.0, 94.84, 0.84; GCA_947568765.1, s__Lactobacillus sp947568765, 95.0, 94.3, 0.748; GCF_948948975.1, s__Lactobacillus sp948948975, 95.0, 94.28, 0.788; GCA_947565635.1, s__Lactobacillus sp947565635, 95.0, 91.24, 0.605; GCA_947641735.1, s__Lactobacillus sp947641735, 95.0, 90.93, 0.611; GCA_948500755.1, s__Lactobacillus sp948500755, 95.0, 90.64, 0.359; GCF_001436695.1, s__Lactobacillus taiwanensis, 95.0, 87.98, 0.569; GCF_947539375.1, s__Lactobacillus sp947539375, 95.0, 86.66, 0.564; GCF_000014425.1, s__Lactobacillus gasseri, 95.0, 86.28, 0.536; GCF_003584685.1, s__Lactobacillus paragasseri, 95.0, 86.24, 0.536	93.82	11	N/A	N/A
F_bin_158131	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Sutterella;s__Sutterella sp937943605	GCA_937943605.1	95.0	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Sutterella;s__Sutterella sp937943605	99.08	0.888	GCA_937943605.1	95.0	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Sutterella;s__Sutterella sp937943605	99.08	0.888	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Sutterella;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_020025915.1, s__Sutterella sp020025915, 95.0, 93.08, 0.76; GCA_905186105.1, s__Sutterella sp905186105, 95.0, 85.35, 0.398	76.33	11	N/A	N/A
F_bin_158995	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Succinivibrionaceae;g__Anaerobiospirillum;s__Anaerobiospirillum succiniciproducens	GCF_000482845.1	95.0	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Succinivibrionaceae;g__Anaerobiospirillum;s__Anaerobiospirillum succiniciproducens	97.15	0.85	GCF_000482845.1	95.0	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Succinivibrionaceae;g__Anaerobiospirillum;s__Anaerobiospirillum succiniciproducens	97.15	0.85	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Succinivibrionaceae;g__Anaerobiospirillum;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	N/A	90.45	11	N/A	N/A
F_bin_164995	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__Limisoma;s__Limisoma sp900556245	GCA_900556245.1	95.0	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__Limisoma;s__Limisoma sp900556245	98.16	0.861	GCA_900556245.1	95.0	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__Limisoma;s__Limisoma sp900556245	98.16	0.861	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__Limisoma;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	N/A	89.0	11	N/A	N/A
F_bin_165154	d__Bacteria;p__Actinomycetota;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella;s__Collinsella intestinalis	GCF_000156175.1	95.0	d__Bacteria;p__Actinomycetota;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella;s__Collinsella intestinalis	97.33	0.833	GCF_000156175.1	95.0	d__Bacteria;p__Actinomycetota;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella;s__Collinsella intestinalis	97.33	0.833	d__Bacteria;p__Actinomycetota;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCF_902364775.1, s__Collinsella sp902364775, 95.0, 94.67, 0.752; GCA_900551665.1, s__Collinsella sp900551665, 95.0, 93.99, 0.689; GCA_958443615.1, s__Collinsella sp958443615, 95.0, 89.09, 0.463; GCA_029264355.1, s__Collinsella sp029264355, 95.0, 89.01, 0.57; GCA_020025115.1, s__Collinsella sp020025115, 95.0, 88.33, 0.493; GCA_902470815.1, s__Collinsella sp902470815, 95.0, 87.31, 0.269; GCF_003479805.1, s__Collinsella sp003479805, 95.0, 85.83, 0.195; GCA_900540845.1, s__Collinsella sp900540845, 95.0, 85.13, 0.2; GCF_020735465.1, s__Collinsella stercoris, 95.0, 85.11, 0.191	77.8	11	N/A	N/A
F_bin_169882	d__Bacteria;p__Bacillota_A;c__Clostridia;o__TANB77;f__CAG-508;g__Merdicola;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Bacillota_A;c__Clostridia;o__TANB77;f__CAG-508;g__Merdicola;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	GCA_958422985.1, s__Merdicola sp958422985, 95.0, 93.55, 0.725; GCA_900552655.1, s__Merdicola sp900552655, 95.0, 92.98, 0.724; GCA_900754085.1, s__Merdicola sp900754085, 95.0, 90.84, 0.662; GCA_001915925.1, s__Merdicola sp001915925, 95.0, 84.83, 0.361; GCA_900553015.1, s__Merdicola sp900553015, 95.0, 84.8, 0.383; GCA_946497695.1, s__Merdicola sp946497695, 95.0, 84.64, 0.345; GCA_018371855.1, s__Merdicola sp018371855, 95.0, 84.57, 0.384; GCA_944391965.1, s__Merdicola sp944391965, 95.0, 84.43, 0.33; GCA_900759015.1, s__Merdicola sp900759015, 95.0, 84.28, 0.335; GCA_930990555.1, s__Merdicola sp930990555, 95.0, 84.23, 0.329; GCA_944388935.1, s__Merdicola sp944388935, 95.0, 82.93, 0.233; GCA_944392945.1, s__Merdicola sp944392945, 95.0, 82.79, 0.27; GCA_944389475.1, s__Merdicola sp944389475, 95.0, 81.55, 0.207; GCA_944393485.1, s__Merdicola sp944393485, 95.0, 81.53, 0.16; GCA_944392175.1, s__Merdicola sp944392175, 95.0, 81.48, 0.156; GCA_944393475.1, s__Merdicola sp944393475, 95.0, 81.46, 0.169	82.88	11	0.99385	Genome not assigned to closest species as it falls outside its pre-defined ANI radius
F_bin_174518	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Brotaphodocola;s__Brotaphodocola sp900538475	GCA_900538475.1	95.0	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Brotaphodocola;s__Brotaphodocola sp900538475	98.91	0.877	GCA_900538475.1	95.0	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Brotaphodocola;s__Brotaphodocola sp900538475	98.91	0.877	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Brotaphodocola;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_900540335.1, s__Brotaphodocola sp900540335, 95.0, 90.01, 0.638	88.28	11	N/A	N/A
F_bin_17558	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Choladousia;s__Choladousia sp900757145	GCA_900757145.1	95.0	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Choladousia;s__Choladousia sp900757145	99.0	0.849	GCA_900757145.1	95.0	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Choladousia;s__Choladousia sp900757145	99.0	0.849	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Choladousia;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_958422845.1, s__Choladousia sp958422845, 95.0, 89.23, 0.556	80.02	11	N/A	N/A
