ID	accession	gtdb_taxonomy	checkm2_completeness	checkm2_contamination	genome_size	gc_percentage	n50_contigs	contig_count	ncbi_biosample	isolation_source_x	country	mimag_high_quality	mimag_medium_quality	gtdb_representative	ncbi_genbank_assembly_accession	BioSample	ENA first public	ENA last update	ENA-CHECKLIST	ENA-FIRST-PUBLIC	ENA-LAST-UPDATE	External Id	INSDC center alias	INSDC center name	INSDC first public	INSDC last update	INSDC status	MLST_type	SRA_BioSample	Submitter Id	altitude	assembly	assembly quality	assembly software	assembly_method	assembly_method_version	binning parameters	binning software	biomaterial_provider	biotic_relationship	broker name	collected_by	collection_date	common name	completeness score	completeness software	completeness_estimated	contamination score	contamination_estimated	culture_collection	depth	derived_from	env_broad_scale	env_local_scale	env_medium	env_package	environmental-sample	environmental_sample	estimated_size	extrachrom_elements	finishing strategy (depth of coverage)	genome_coverage	genome_name	genotype	geo_loc_name	geographic location (latitude)	geographic location (longitude)	host	host-associated environmental package	host_age	host_body_habitat	host_body_product	host_description	host_diet	host_disease	host_disease_outcome	host_disease_stage	host_genotype	host_health_state	host_phenotype	host_sex	host_subject_id	host_taxid	host_tissue_sampled	identified_by	investigation_type	isol_growth_condt	isolate	isolate host	isolation_source_y	lab_host	label	lat_lon	local environmental context	locus_tag_prefix	mapping_method	mapping_method_version	mating_type	metagenome_source	metagenomic	metagenomic source	misc_param: HMP body site	misc_param: HMP supersite	note	nucleic acid extraction	num_replicons	passage_history	pathotype	project_name	project_type	quality_assessment_method	quality_assessment_method_version	ref_biomaterial	rel_to_oxygen	samp_mat_process	samp_size	sample derived from	sample_name	sample_type	scientific_name	seq_id	sequencing method	serotype	serovar	sop	source_SRA	source_SRA_ bioproject	source_material_id	specimen_voucher	strain	subgroup	subtype	taxonomic classification	taxonomic identity marker	temp	value
GCF_005236055.1	RS_GCF_005236055.1	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus;s__Enterococcus faecalis	100.0	0.28	2974526	37.34835806913786	107138	98	SAMN09435259	poultry feces	New Zealand	t	f	f	GCA_005236055.1	SAMN09435259												108														Janet Manson	2002/2003																						New Zealand			Gallus gallus domesticus							not applicable															poultry feces			not collected																										pure culture											VV5						
GCF_005236265.1	RS_GCF_005236265.1	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus;s__Enterococcus faecalis	100.0	0.2	2904839	37.38318336162696	220806	56	SAMN09435239	poultry feces	New Zealand	t	f	f	GCA_005236265.1	SAMN09435239												108														Janet Manson	2002/2003																						New Zealand			Gallus gallus domesticus							not applicable															poultry feces			not collected																										pure culture											TV5						
GCF_005236415.1	RS_GCF_005236415.1	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus;s__Enterococcus faecalis	100.0	0.2	2880894	37.45318001023357	178249	60	SAMN09435218	poultry feces	New Zealand	t	f	f	GCA_005236415.1	SAMN09435218												108														Janet Manson	2002/2003																						New Zealand			Gallus gallus domesticus							not applicable															poultry feces			not collected																										pure culture											TV2						
GCF_005236425.1	RS_GCF_005236425.1	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus;s__Enterococcus faecalis	100.0	0.19	2900405	37.43999172477997	176223	72	SAMN09435220	poultry feces	New Zealand	t	f	f	GCA_005236425.1	SAMN09435220												108														Janet Manson	2002/2003																						New Zealand			Gallus gallus domesticus							not applicable															poultry feces			not collected																										pure culture											TV32						
GCF_005236475.1	RS_GCF_005236475.1	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus;s__Enterococcus faecalis	100.0	0.2	2880060	37.45628290067642	169338	60	SAMN09435213	poultry feces	New Zealand	t	f	f	GCA_005236475.1	SAMN09435213												108														Janet Manson	2002/2003																						New Zealand			Gallus gallus domesticus							not applicable															poultry feces			not collected																										pure culture											TV19						
GCF_005236535.1	RS_GCF_005236535.1	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus;s__Enterococcus faecalis	100.0	0.29	2829982	37.36345559000296	164660	88	SAMN09435200	poultry feces	New Zealand	t	f	f	GCA_005236535.1	SAMN09435200												untyped														Janet Manson	2002/2003																						New Zealand			Gallus gallus domesticus							not applicable															poultry feces			not collected																										pure culture											TV135						
GCF_005236595.1	RS_GCF_005236595.1	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus;s__Enterococcus faecalis	100.0	0.13	2900344	37.39040687519807	360016	48	SAMN09435198	poultry feces	New Zealand	t	f	f	GCA_005236595.1	SAMN09435198												116														Janet Manson	2002/2003																						New Zealand			Gallus gallus domesticus							not applicable															poultry feces			not collected																										pure culture											TV126						
GCF_005236615.1	RS_GCF_005236615.1	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus;s__Enterococcus faecalis	100.0	0.28	2830539	37.36491884265768	164660	86	SAMN09435195	poultry feces	New Zealand	t	f	f	GCA_005236615.1	SAMN09435195												untyped														Janet Manson	2002/2003																						New Zealand			Gallus gallus domesticus							not applicable															poultry feces			not collected																										pure culture											TV121						
GCF_005236635.1	RS_GCF_005236635.1	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus;s__Enterococcus faecalis	100.0	0.15	2809468	37.56318326921269	176676	51	SAMN09435186	poultry feces	New Zealand	t	f	f	GCA_005236635.1	SAMN09435186												108														Janet Manson	2002/2003																						New Zealand			Gallus gallus domesticus							not applicable															poultry feces			not collected																										pure culture											TV102						
GCF_005236695.1	RS_GCF_005236695.1	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus;s__Enterococcus faecalis	100.0	0.2	2869780	37.47644270978533	267782	53	SAMN09435183	poultry feces	New Zealand	t	f	f	GCA_005236695.1	SAMN09435183												108														Janet Manson	2002/2003																						New Zealand			Gallus gallus domesticus							not applicable															poultry feces			not collected																										pure culture											IV23						
GCF_005236705.1	RS_GCF_005236705.1	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus;s__Enterococcus faecalis	100.0	0.24	2880821	37.47530928912276	232680	61	SAMN09435182	poultry feces	New Zealand	t	f	f	GCA_005236705.1	SAMN09435182												108														Janet Manson	2002/2003																						New Zealand			Gallus gallus domesticus							not applicable															poultry feces			not collected																										pure culture											IV22						
GCF_005236755.1	RS_GCF_005236755.1	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus;s__Enterococcus faecalis	100.0	0.19	2823847	37.43554038064687	250515	41	SAMN09435180	poultry feces	New Zealand	t	f	f	GCA_005236755.1	SAMN09435180												108														Janet Manson	2002/2003																						New Zealand			Gallus gallus domesticus							not applicable															poultry feces			not collected																										pure culture											IV12						
GCF_005236765.1	RS_GCF_005236765.1	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus;s__Enterococcus faecalis	100.0	0.14	2807821	37.56662621752567	261372	41	SAMN09435173	poultry feces	New Zealand	t	f	f	GCA_005236765.1	SAMN09435173												108														Janet Manson	2000																						New Zealand			Gallus gallus domesticus							not applicable															poultry feces			not collected																										pure culture											5A-6						
GCF_005236775.1	RS_GCF_005236775.1	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus;s__Enterococcus faecalis	100.0	0.14	2808974	37.56626509455659	261642	47	SAMN09435175	poultry feces	New Zealand	t	f	f	GCA_005236775.1	SAMN09435175												108														Janet Manson	2000																						New Zealand			Gallus gallus domesticus							not applicable															poultry feces			not collected																										pure culture											5A-8						
GCF_005236795.1	RS_GCF_005236795.1	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus;s__Enterococcus faecalis	100.0	0.14	2809348	37.565784602416095	261642	45	SAMN09435172	poultry feces	New Zealand	t	f	f	GCA_005236795.1	SAMN09435172												108														Janet Manson	2000																						New Zealand			Gallus gallus domesticus							not applicable															poultry feces			not collected																										pure culture											5A-5						
GCF_005236835.1	RS_GCF_005236835.1	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus;s__Enterococcus faecalis	100.0	0.14	2808856	37.56691765087892	261642	42	SAMN09435168	poultry feces	New Zealand	t	f	f	GCA_005236835.1	SAMN09435168												108														Janet Manson	2000																						New Zealand			Gallus gallus domesticus							not applicable															poultry feces			not collected																										pure culture											5A-1						
GCF_005236845.1	RS_GCF_005236845.1	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus;s__Enterococcus faecalis	100.0	0.17	2881557	37.48612642978464	249092	63	SAMN09435159	poultry feces	New Zealand	t	f	f	GCA_005236845.1	SAMN09435159												108														Janet Manson	2001																						New Zealand			Gallus gallus domesticus							not applicable															poultry feces			not collected																										pure culture											13-9-85						
GCF_005236855.1	RS_GCF_005236855.1	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus;s__Enterococcus faecalis	100.0	0.14	2808391	37.56637232743551	261372	43	SAMN09435167	poultry feces	New Zealand	t	f	f	GCA_005236855.1	SAMN09435167												108														Janet Manson	2000																						New Zealand			Gallus gallus domesticus							not applicable															poultry feces			not collected																										pure culture											5A-19						
GCF_005236865.1	RS_GCF_005236865.1	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus;s__Enterococcus faecalis	100.0	0.17	2879245	37.48095301773319	232664	58	SAMN09435155	poultry feces	New Zealand	t	f	f	GCA_005236865.1	SAMN09435155												108														Janet Manson	2001																						New Zealand			Gallus gallus domesticus							not applicable															poultry feces			not collected																										pure culture											13-4VP						
GCF_005236885.1	RS_GCF_005236885.1	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus;s__Enterococcus faecalis	100.0	0.17	2881720	37.48637881133005	249092	64	SAMN09435157	poultry feces	New Zealand	t	f	f	GCA_005236885.1	SAMN09435157												108														Janet Manson	2001																						New Zealand			Gallus gallus domesticus							not applicable															poultry feces			not collected																										pure culture											13-7-61						
GCF_005236915.1	RS_GCF_005236915.1	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus;s__Enterococcus faecalis	100.0	0.17	2880283	37.48372888052962	232541	60	SAMN09435148	poultry feces	New Zealand	t	f	f	GCA_005236915.1	SAMN09435148												108														Janet Manson	2001																						New Zealand			Gallus gallus domesticus							not applicable															poultry feces			not collected																										pure culture											13-2-16						
GCF_005236945.1	RS_GCF_005236945.1	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus;s__Enterococcus faecalis	100.0	0.17	2866768	37.4976103995412	176214	54	SAMN09435143	poultry feces	New Zealand	t	f	f	GCA_005236945.1	SAMN09435143												108														Janet Manson	2001																						New Zealand			Gallus gallus domesticus							not applicable															poultry feces			not collected																										pure culture											13-10-98						
GCF_005236965.1	RS_GCF_005236965.1	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus;s__Enterococcus faecalis	100.0	0.14	2826146	37.53413876883162	249092	51	SAMN09435144	poultry feces	New Zealand	t	f	f	GCA_005236965.1	SAMN09435144												108														Janet Manson	2001																						New Zealand			Gallus gallus domesticus							not applicable															poultry feces			not collected																										pure culture											13-1-09						
GCF_005236975.1	RS_GCF_005236975.1	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus;s__Enterococcus faecalis	100.0	0.17	2880339	37.4822661791819	198486	59	SAMN09435140	poultry feces	New Zealand	t	f	f	GCA_005236975.1	SAMN09435140												108														Janet Manson	2001																						New Zealand			Gallus gallus domesticus							not applicable															poultry feces			not collected																										pure culture											13-1-07						
GCF_005236985.1	RS_GCF_005236985.1	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus;s__Enterococcus faecalis	100.0	0.2	2881038	37.45883174677675	226794	77	SAMN09435134	poultry feces	New Zealand	t	f	f	GCA_005236985.1	SAMN09435134												108														Janet Manson	2001																						New Zealand			Gallus gallus domesticus							not applicable															poultry feces			not collected																										pure culture											12-8-01						
GCF_005237015.1	RS_GCF_005237015.1	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus;s__Enterococcus faecalis	100.0	0.15	2785742	37.5863829273949	249092	53	SAMN09435127	poultry feces	New Zealand	t	f	f	GCA_005237015.1	SAMN09435127												108														Janet Manson	2001																						New Zealand			Gallus gallus domesticus							not applicable															poultry feces			not collected																										pure culture											12-1VP						
GCF_005237075.1	RS_GCF_005237075.1	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus;s__Enterococcus faecalis	100.0	0.14	2809978	37.56588128147701	186469	52	SAMN09435120	poultry feces	New Zealand	t	f	f	GCA_005237075.1	SAMN09435120												108														Janet Manson	2001																						New Zealand			Gallus gallus domesticus							not applicable															poultry feces			not collected																										pure culture											10-6-50						
GCF_005237085.1	RS_GCF_005237085.1	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus;s__Enterococcus faecalis	100.0	0.13	2810693	37.562395192621416	186469	49	SAMN09435119	poultry feces	New Zealand	t	f	f	GCA_005237085.1	SAMN09435119												108														Janet Manson	2001																						New Zealand			Gallus gallus domesticus							not applicable															poultry feces			not collected																										pure culture											10-6-46						
GCF_005237095.1	RS_GCF_005237095.1	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus;s__Enterococcus faecalis	100.0	0.14	2812858	37.57047132101218	123436	61	SAMN09435116	poultry feces	New Zealand	t	f	f	GCA_005237095.1	SAMN09435116												108														Janet Manson	2001																						New Zealand			Gallus gallus domesticus							not applicable															poultry feces			not collected																										pure culture											10-2-17						
GCF_005237145.1	RS_GCF_005237145.1	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus;s__Enterococcus faecalis	100.0	0.14	2810946	37.5658450401065	186469	51	SAMN09435114	poultry feces	New Zealand	t	f	f	GCA_005237145.1	SAMN09435114												108														Janet Manson	2001																						New Zealand			Gallus gallus domesticus							not applicable															poultry feces			not collected																										pure culture											10-1A						
GCF_005237155.1	RS_GCF_005237155.1	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus;s__Enterococcus faecalis	100.0	0.21	2970480	37.32710500622833	121388	96	SAMN09435240	poultry feces	New Zealand	t	f	f	GCA_005237155.1	SAMN09435240												108														Janet Manson	2002/2003																						New Zealand			Gallus gallus domesticus							not applicable															poultry feces			not collected																										pure culture											TV70						
GCF_005237335.1	RS_GCF_005237335.1	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus;s__Enterococcus faecalis	100.0	0.91	2938739	37.36710282282078	121388	84	SAMN09435228	poultry feces	New Zealand	t	f	f	GCA_005237335.1	SAMN09435228												108														Janet Manson	2002/2003																						New Zealand			Gallus gallus domesticus							not applicable															poultry feces			not collected																										pure culture											TV46						
GCF_005237405.1	RS_GCF_005237405.1	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus;s__Enterococcus faecalis	100.0	0.24	2868142	37.47350906323027	261642	54	SAMN09435222	poultry feces	New Zealand	t	f	f	GCA_005237405.1	SAMN09435222												108														Janet Manson	2002/2003																						New Zealand			Gallus gallus domesticus							not applicable															poultry feces			not collected																										pure culture											TV3						
GCF_005237435.1	RS_GCF_005237435.1	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus;s__Enterococcus faecalis	100.0	0.19	2959704	37.32461706679858	220806	67	SAMN09435221	poultry feces	New Zealand	t	f	f	GCA_005237435.1	SAMN09435221												108														Janet Manson	2002/2003																						New Zealand			Gallus gallus domesticus							not applicable															poultry feces			not collected																										pure culture											TV33						
GCF_005237455.1	RS_GCF_005237455.1	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus;s__Enterococcus faecalis	100.0	0.17	2853482	37.479931153473714	152834	58	SAMN09435219	poultry feces	New Zealand	t	f	f	GCA_005237455.1	SAMN09435219												108														Janet Manson	2002/2003																						New Zealand			Gallus gallus domesticus							not applicable															poultry feces			not collected																										pure culture											TV30						
GCF_005237495.1	RS_GCF_005237495.1	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus;s__Enterococcus faecalis	100.0	0.61	2888531	37.46573737056196	119956	84	SAMN09435217	poultry feces	New Zealand	t	f	f	GCA_005237495.1	SAMN09435217												108														Janet Manson	2002/2003																						New Zealand			Gallus gallus domesticus							not applicable															poultry feces			not collected																										pure culture											TV29						
GCF_005237505.1	RS_GCF_005237505.1	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus;s__Enterococcus faecalis	100.0	0.19	2881678	37.45117990711776	261181	71	SAMN09435216	poultry feces	New Zealand	t	f	f	GCA_005237505.1	SAMN09435216												108														Janet Manson	2002/2003																						New Zealand			Gallus gallus domesticus							not applicable															poultry feces			not collected																										pure culture											TV28						
GCF_005237565.1	RS_GCF_005237565.1	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus;s__Enterococcus faecalis	100.0	0.17	2863667	37.37930803272093	267782	37	SAMN09435211	poultry feces	New Zealand	t	f	f	GCA_005237565.1	SAMN09435211												108														Janet Manson	2002/2003																						New Zealand			Gallus gallus domesticus							not applicable															poultry feces			not collected																										pure culture											TV163						
GCF_005237575.1	RS_GCF_005237575.1	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus;s__Enterococcus faecalis	100.0	0.19	2881044	37.45081336710098	261372	58	SAMN09435208	poultry feces	New Zealand	t	f	f	GCA_005237575.1	SAMN09435208												108														Janet Manson	2002/2003																						New Zealand			Gallus gallus domesticus							not applicable															poultry feces			not collected																										pure culture											TV154						
GCF_005237605.1	RS_GCF_005237605.1	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus;s__Enterococcus faecalis	100.0	0.18	2856686	37.452643194167976	284977	38	SAMN09435206	poultry feces	New Zealand	t	f	f	GCA_005237605.1	SAMN09435206												314														Janet Manson	2002/2003																						New Zealand			Gallus gallus domesticus							not applicable															poultry feces			not collected																										pure culture											TV148						
GCF_005237635.1	RS_GCF_005237635.1	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus;s__Enterococcus faecalis	100.0	0.2	2910112	37.38080477481948	188448	60	SAMN09435204	poultry feces	New Zealand	t	f	f	GCA_005237635.1	SAMN09435204												108														Janet Manson	2002/2003																						New Zealand			Gallus gallus domesticus							not applicable															poultry feces			not collected																										pure culture											TV13						
GCF_005237655.1	RS_GCF_005237655.1	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus;s__Enterococcus faecalis	100.0	0.17	2858504	37.455201019898375	190992	51	SAMN09435205	poultry feces	New Zealand	t	f	f	GCA_005237655.1	SAMN09435205												314														Janet Manson	2002/2003																						New Zealand			Gallus gallus domesticus							not applicable															poultry feces			not collected																										pure culture											TV147						
GCF_005237765.1	RS_GCF_005237765.1	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus;s__Enterococcus faecalis	100.0	0.15	2899592	37.39168853618671	360016	41	SAMN09435193	poultry feces	New Zealand	t	f	f	GCA_005237765.1	SAMN09435193												116														Janet Manson	2002/2003																						New Zealand			Gallus gallus domesticus							not applicable															poultry feces			not collected																										pure culture											TV112						
GCF_005237795.1	RS_GCF_005237795.1	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus;s__Enterococcus faecalis	100.0	0.19	2796143	37.50103273898832	240595	49	SAMN09435190	poultry feces	New Zealand	t	f	f	GCA_005237795.1	SAMN09435190												314														Janet Manson	2002/2003																						New Zealand			Gallus gallus domesticus							not applicable															poultry feces			not collected																										pure culture											TV106						
GCF_005237845.1	RS_GCF_005237845.1	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus;s__Enterococcus faecalis	100.0	0.15	2808187	37.57091773631618	176214	56	SAMN09435189	poultry feces	New Zealand	t	f	f	GCA_005237845.1	SAMN09435189												108														Janet Manson	2002/2003																						New Zealand			Gallus gallus domesticus							not applicable															poultry feces			not collected																										pure culture											TV105						
GCF_005237855.1	RS_GCF_005237855.1	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus;s__Enterococcus faecalis	100.0	0.36	2831192	37.36267501528629	164660	91	SAMN09435187	poultry feces	New Zealand	t	f	f	GCA_005237855.1	SAMN09435187												untyped														Janet Manson	2002/2003																						New Zealand			Gallus gallus domesticus							not applicable															poultry feces			not collected																										pure culture											TV103						
GCF_005237895.1	RS_GCF_005237895.1	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus;s__Enterococcus faecalis	100.0	0.23	2880797	37.47482438260064	127166	69	SAMN09435185	poultry feces	New Zealand	t	f	f	GCA_005237895.1	SAMN09435185												108														Janet Manson	2002/2003																						New Zealand			Gallus gallus domesticus							not applicable															poultry feces			not collected																										pure culture											IV30						
GCF_005237915.1	RS_GCF_005237915.1	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus;s__Enterococcus faecalis	100.0	0.21	2887063	37.34429557168985	261372	55	SAMN09435181	poultry feces	New Zealand	t	f	f	GCA_005237915.1	SAMN09435181												108														Janet Manson	2002/2003																						New Zealand			Gallus gallus domesticus							not applicable															poultry feces			not collected																										pure culture											IV18						
GCF_005237925.1	RS_GCF_005237925.1	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus;s__Enterococcus faecalis	100.0	0.17	2880101	37.48007758543461	249092	57	SAMN09435179	poultry feces	New Zealand	t	f	f	GCA_005237925.1	SAMN09435179												108														Janet Manson	2001																						New Zealand			Gallus gallus domesticus							not applicable															poultry feces			not collected																										pure culture											EF13-4-31						
GCF_005237955.1	RS_GCF_005237955.1	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus;s__Enterococcus faecalis	100.0	0.14	2827316	37.53335531081632	232541	61	SAMN09435178	poultry feces	New Zealand	t	f	f	GCA_005237955.1	SAMN09435178												108														Janet Manson	2001																						New Zealand			Gallus gallus domesticus							not applicable															poultry feces			not collected																										pure culture											EF13-2-12						
GCF_005237965.1	RS_GCF_005237965.1	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus;s__Enterococcus faecalis	100.0	0.16	2855985	37.490234802446246	230717	50	SAMN09435177	poultry feces	New Zealand	t	f	f	GCA_005237965.1	SAMN09435177												108														Janet Manson	2000																						New Zealand			Gallus gallus domesticus							not applicable															poultry feces			not collected																										pure culture											5D-62						
GCF_005237985.1	RS_GCF_005237985.1	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus;s__Enterococcus faecalis	100.0	0.14	2808759	37.56689770877016	261372	43	SAMN09435176	poultry feces	New Zealand	t	f	f	GCA_005237985.1	SAMN09435176												108														Janet Manson	2000																						New Zealand			Gallus gallus domesticus							not applicable															poultry feces			not collected																										pure culture											5A-9						
GCF_005238025.1	RS_GCF_005238025.1	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus;s__Enterococcus faecalis	100.0	0.14	2808144	37.56433487039008	261372	40	SAMN09435174	poultry feces	New Zealand	t	f	f	GCA_005238025.1	SAMN09435174												108														Janet Manson	2000																						New Zealand			Gallus gallus domesticus							not applicable															poultry feces			not collected																										pure culture											5A-7						
GCF_005238055.1	RS_GCF_005238055.1	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus;s__Enterococcus faecalis	100.0	0.14	2809276	37.5669610436952	261102	51	SAMN09435170	poultry feces	New Zealand	t	f	f	GCA_005238055.1	SAMN09435170												108														Janet Manson	2000																						New Zealand			Gallus gallus domesticus							not applicable															poultry feces			not collected																										pure culture											5A-2						
GCF_005238065.1	RS_GCF_005238065.1	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus;s__Enterococcus faecalis	100.0	0.14	2808421	37.56436858517485	261642	41	SAMN09435171	poultry feces	New Zealand	t	f	f	GCA_005238065.1	SAMN09435171												108														Janet Manson	2000																						New Zealand			Gallus gallus domesticus							not applicable															poultry feces			not collected																										pure culture											5A-4						
GCF_005238075.1	RS_GCF_005238075.1	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus;s__Enterococcus faecalis	100.0	0.2	2899299	37.39956862757272	141610	72	SAMN09435169	poultry feces	New Zealand	t	f	f	GCA_005238075.1	SAMN09435169												108														Janet Manson	2000																						New Zealand			Gallus gallus domesticus							not applicable															poultry feces			not collected																										pure culture											5A-20						
GCF_005238105.1	RS_GCF_005238105.1	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus;s__Enterococcus faecalis	100.0	0.14	2808926	37.56744112853209	249307	42	SAMN09435165	poultry feces	New Zealand	t	f	f	GCA_005238105.1	SAMN09435165												108														Janet Manson	2000																						New Zealand			Gallus gallus domesticus							not applicable															poultry feces			not collected																										pure culture											5A-16						
GCF_005238115.1	RS_GCF_005238115.1	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus;s__Enterococcus faecalis	100.0	0.13	2808976	37.56880172144933	261642	44	SAMN09435166	poultry feces	New Zealand	t	f	f	GCA_005238115.1	SAMN09435166												108														Janet Manson	2000																						New Zealand			Gallus gallus domesticus							not applicable															poultry feces			not collected																										pure culture											5A-18						
GCF_005238155.1	RS_GCF_005238155.1	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus;s__Enterococcus faecalis	100.0	0.14	2809536	37.57117289514038	249091	47	SAMN09435163	poultry feces	New Zealand	t	f	f	GCA_005238155.1	SAMN09435163												108														Janet Manson	2000																						New Zealand			Gallus gallus domesticus							not applicable															poultry feces			not collected																										pure culture											5A-13						
