ID	accession	gtdb_taxonomy	checkm2_completeness	checkm2_contamination	genome_size	gc_percentage	n50_contigs	contig_count	ncbi_biosample	isolation_source_x	country	mimag_high_quality	mimag_medium_quality	gtdb_representative	ncbi_genbank_assembly_accession	BioSample	ENA first public	ENA last update	ENA-CHECKLIST	ENA-FIRST-PUBLIC	ENA-LAST-UPDATE	External Id	GTDB_taxonomy	INSDC center alias	INSDC center name	INSDC first public	INSDC last update	INSDC status	Submitter Id	altitude	altitute	anonymized name	assembly quality	assembly software	assembly_method	assembly_method_version	binning parameters	binning software	biomaterial_provider	broker name	checkm_completeness	checkm_contamination	collected_by	collection_date	common name	completeness score	completeness software	completeness_estimated	contamination score	contamination_estimated	contigs	culture_collection	depth	derived_from	env_broad_scale	env_local_scale	env_medium	environmental-sample	environmental_sample	ethnicity	genome_coverage	genome_name	genotype	geo_loc_name	geographic location (latitude)	geographic location (longitude)	host	host-associated environmental package	host_body_habitat	host_body_product	host_health_state	host_taxid	host_tissue_sampled	identified_by	investigation_type	isol_growth_condt	isolate	isolation_source_y	lab_host	lat_lon	length	local environmental context	locus_tag_prefix	mapping_method	mapping_method_version	mating_type	metagenome_source	metagenomic	metagenomic source	note	num_replicons	passage_history	project_name	quality_assessment_method	quality_assessment_method_version	ref_biomaterial	rel_to_oxygen	samp_size	sample derived from	sample_name	sample_type	scientific_name	seq_id	sequencing method	serotype	serovar	source_material_id	specimen_voucher	strain	subsrc_note	substrate	supplier_name	taxonomic classification	taxonomic identity marker	temp	value
GCA_948504755.1	GB_GCA_948504755.1	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides uniformis	92.23	0.99	4246501	46.78899104174483	120076	69	SAMEA112382096	Faeces	none	f	t	f	GCA_948504755.1	SAMEA112382096			ERC000047	2023-02-03	2023-02-03	SAMEA112382096		UNIVERSITY OF CAMBRIDGE	UNIVERSITY OF CAMBRIDGE	2023-02-03T00:36:25Z	2023-02-03T00:36:25Z	public	MGBC108267				Many fragments with little to no review of assembly other than reporting of standard assembly statistics	metaSPAdes_v3.10.1			default parameters, kmer: 4	metaWRAP (MetaBAT2, MaxBin2 and CONCOCT)						not provided		96.07	CheckM		0.87						mouse gut		Faeces							Denmark	22.55545	114.05433									metagenome-assembled genome			feces				mouse-associated habitat							mouse gut metagenome				Metagenome-assembled genomes from the Mouse Gastrointestinal Bacteria Catalogue						ERR675635	MGBC108267		Bacteroides uniformis		Illumina										multi-marker approach		
GCA_948520725.1	GB_GCA_948520725.1	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides uniformis	93.16	0.21	4153618	46.73228430822779	82186	79	SAMEA112436180	Faeces	none	f	t	f	GCA_948520725.1	SAMEA112436180			ERC000047	2023-02-03	2023-02-03	SAMEA112436180		UNIVERSITY OF CAMBRIDGE	UNIVERSITY OF CAMBRIDGE	2023-02-03T00:51:25Z	2023-02-03T00:51:25Z	public	MGBC166145				Many fragments with little to no review of assembly other than reporting of standard assembly statistics	metaSPAdes_v3.10.1			default parameters, kmer: 4	metaWRAP (MetaBAT2, MaxBin2 and CONCOCT)						not provided		96.86	CheckM		0.37						mouse gut		Faeces							USA	not provided	not provided									metagenome-assembled genome			feces				mouse-associated habitat							mouse gut metagenome				Metagenome-assembled genomes from the Mouse Gastrointestinal Bacteria Catalogue						SRR13102917	MGBC166145		Bacteroides uniformis		Illumina										multi-marker approach		
GCA_948563275.1	GB_GCA_948563275.1	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides uniformis	99.72	0.82	4200115	46.85440755788829	83380	95	SAMEA112429215	Faeces	none	f	t	f	GCA_948563275.1	SAMEA112429215			ERC000047	2023-02-03	2023-02-03	SAMEA112429215		UNIVERSITY OF CAMBRIDGE	UNIVERSITY OF CAMBRIDGE	2023-02-03T00:50:41Z	2023-02-03T00:50:41Z	public	MGBC159021				Many fragments with little to no review of assembly other than reporting of standard assembly statistics	megahit_v1.1.1-2-g02102e1			default parameters, kmer: 4	metaWRAP (MetaBAT2, MaxBin2 and CONCOCT)						not provided		98.69	CheckM		1.36						mouse gut		Faeces							Singapore	not provided	not provided									metagenome-assembled genome			feces				mouse-associated habitat							mouse gut metagenome				Metagenome-assembled genomes from the Mouse Gastrointestinal Bacteria Catalogue						ERR4091760	MGBC159021		Bacteroides uniformis		Illumina										multi-marker approach		
GCA_948574605.1	GB_GCA_948574605.1	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides uniformis	99.14	0.49	4647476	46.445809820634	48015	209	SAMEA112382246	Faeces	none	f	t	f	GCA_948574605.1	SAMEA112382246			ERC000047	2023-02-03	2023-02-03	SAMEA112382246		UNIVERSITY OF CAMBRIDGE	UNIVERSITY OF CAMBRIDGE	2023-02-03T00:36:37Z	2023-02-03T00:36:37Z	public	MGBC108419				Many fragments with little to no review of assembly other than reporting of standard assembly statistics	metaSPAdes_v3.10.1			default parameters, kmer: 4	metaWRAP (MetaBAT2, MaxBin2 and CONCOCT)						not provided		97.06	CheckM		0.37						mouse gut		Faeces							USA	22.55545	114.05433									metagenome-assembled genome			feces				mouse-associated habitat							mouse gut metagenome				Metagenome-assembled genomes from the Mouse Gastrointestinal Bacteria Catalogue						ERR675640	MGBC108419		Bacteroides uniformis		Illumina										multi-marker approach		
GCA_948612165.1	GB_GCA_948612165.1	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides uniformis	92.55	0.19	4182023	46.84072874786306	86102	90	SAMEA112436462	Faeces	none	f	t	f	GCA_948612165.1	SAMEA112436462			ERC000047	2023-02-03	2023-02-03	SAMEA112436462		UNIVERSITY OF CAMBRIDGE	UNIVERSITY OF CAMBRIDGE	2023-02-03T00:51:47Z	2023-02-03T00:51:47Z	public	MGBC166433				Many fragments with little to no review of assembly other than reporting of standard assembly statistics	metaSPAdes_v3.10.1			default parameters, kmer: 4	metaWRAP (MetaBAT2, MaxBin2 and CONCOCT)						not provided		96.16	CheckM		0.37						mouse gut		Faeces							USA	not provided	not provided									metagenome-assembled genome			feces				mouse-associated habitat							mouse gut metagenome				Metagenome-assembled genomes from the Mouse Gastrointestinal Bacteria Catalogue						SRR13102908	MGBC166433		Bacteroides uniformis		Illumina										multi-marker approach		
GCA_948626545.1	GB_GCA_948626545.1	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides uniformis	93.14	0.84	4277490	46.60966263283132	39020	179	SAMEA112375363	Faeces	none	f	t	f	GCA_948626545.1	SAMEA112375363			ERC000047	2023-02-03	2023-02-03	SAMEA112375363		UNIVERSITY OF CAMBRIDGE	UNIVERSITY OF CAMBRIDGE	2023-02-03T00:37:47Z	2023-02-03T00:37:47Z	public	MGBC101382				Many fragments with little to no review of assembly other than reporting of standard assembly statistics	metaSPAdes_v3.10.1			default parameters, kmer: 4	metaWRAP (MetaBAT2, MaxBin2 and CONCOCT)						not provided		97.10	CheckM		0.37						mouse gut		Faeces							Denmark	55.676097	12.568337									metagenome-assembled genome			feces				mouse-associated habitat							mouse gut metagenome				Metagenome-assembled genomes from the Mouse Gastrointestinal Bacteria Catalogue						ERR982829	MGBC101382		Bacteroides uniformis		Illumina										multi-marker approach		
GCA_948639715.1	GB_GCA_948639715.1	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides uniformis	94.03	1.42	4401069	46.96291605158629	57859	167	SAMEA112374486	Faeces	none	f	t	f	GCA_948639715.1	SAMEA112374486			ERC000047	2023-02-03	2023-02-03	SAMEA112374486		UNIVERSITY OF CAMBRIDGE	UNIVERSITY OF CAMBRIDGE	2023-02-03T00:36:12Z	2023-02-03T00:36:12Z	public	MGBC100498				Many fragments with little to no review of assembly other than reporting of standard assembly statistics	metaSPAdes_v3.10.1			default parameters, kmer: 4	metaWRAP (MetaBAT2, MaxBin2 and CONCOCT)						not provided		97.64	CheckM		0.93						mouse gut		Faeces							Denmark	55.676097	12.568337									metagenome-assembled genome			feces				mouse-associated habitat							mouse gut metagenome				Metagenome-assembled genomes from the Mouse Gastrointestinal Bacteria Catalogue						ERR982795	MGBC100498		Bacteroides uniformis		Illumina										multi-marker approach		
GCA_948643155.1	GB_GCA_948643155.1	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides uniformis	99.51	0.91	4353133	46.62717633483746	126290	58	SAMEA112429478	Faeces	none	f	t	f	GCA_948643155.1	SAMEA112429478			ERC000047	2023-02-03	2023-02-03	SAMEA112429478		UNIVERSITY OF CAMBRIDGE	UNIVERSITY OF CAMBRIDGE	2023-02-03T00:50:46Z	2023-02-03T00:50:46Z	public	MGBC159287				Many fragments with little to no review of assembly other than reporting of standard assembly statistics	megahit_v1.1.1-2-g02102e1			default parameters, kmer: 4	metaWRAP (MetaBAT2, MaxBin2 and CONCOCT)						not provided		98.14	CheckM		0.09						mouse gut		Faeces							Singapore	not provided	not provided									metagenome-assembled genome			feces				mouse-associated habitat							mouse gut metagenome				Metagenome-assembled genomes from the Mouse Gastrointestinal Bacteria Catalogue						ERR4065474	MGBC159287		Bacteroides uniformis		Illumina										multi-marker approach		
GCA_948683155.1	GB_GCA_948683155.1	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides uniformis	92.87	2.24	4355683	46.74622658988788	87535	93	SAMEA112427315	Faeces	none	f	t	f	GCA_948683155.1	SAMEA112427315			ERC000047	2023-02-03	2023-02-03	SAMEA112427315		UNIVERSITY OF CAMBRIDGE	UNIVERSITY OF CAMBRIDGE	2023-02-03T00:51:10Z	2023-02-03T00:51:10Z	public	MGBC157104				Many fragments with little to no review of assembly other than reporting of standard assembly statistics	metaSPAdes_v3.10.1			default parameters, kmer: 4	metaWRAP (MetaBAT2, MaxBin2 and CONCOCT)						not provided		96.56	CheckM		1.12						mouse gut		Faeces							Singapore	not provided	not provided									metagenome-assembled genome			feces				mouse-associated habitat							mouse gut metagenome				Metagenome-assembled genomes from the Mouse Gastrointestinal Bacteria Catalogue						ERR4106636	MGBC157104		Bacteroides uniformis		Illumina										multi-marker approach		
GCA_948701595.1	GB_GCA_948701595.1	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides uniformis	97.57	0.08	4258753	46.53142819704714	97804	68	SAMEA112425389	Faeces	none	f	t	f	GCA_948701595.1	SAMEA112425389			ERC000047	2023-02-03	2023-02-03	SAMEA112425389		UNIVERSITY OF CAMBRIDGE	UNIVERSITY OF CAMBRIDGE	2023-02-03T00:48:13Z	2023-02-03T00:48:13Z	public	MGBC155169				Many fragments with little to no review of assembly other than reporting of standard assembly statistics	metaSPAdes_v3.10.1			default parameters, kmer: 4	metaWRAP (MetaBAT2, MaxBin2 and CONCOCT)						not provided		97.50	CheckM		0.00						mouse gut		Faeces							Singapore	not provided	not provided									metagenome-assembled genome			feces				mouse-associated habitat							mouse gut metagenome				Metagenome-assembled genomes from the Mouse Gastrointestinal Bacteria Catalogue						ERR4094219	MGBC155169		Bacteroides uniformis		Illumina										multi-marker approach		
GCA_948701645.1	GB_GCA_948701645.1	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides uniformis	91.23	0.04	4062809	46.90291648328494	75764	84	SAMEA112428346	Faeces	none	f	t	f	GCA_948701645.1	SAMEA112428346			ERC000047	2023-02-03	2023-02-03	SAMEA112428346		UNIVERSITY OF CAMBRIDGE	UNIVERSITY OF CAMBRIDGE	2023-02-03T00:47:57Z	2023-02-03T00:47:57Z	public	MGBC158146				Many fragments with little to no review of assembly other than reporting of standard assembly statistics	metaSPAdes_v3.10.1			default parameters, kmer: 4	metaWRAP (MetaBAT2, MaxBin2 and CONCOCT)						not provided		94.50	CheckM		0.43						mouse gut		Faeces							Singapore	not provided	not provided									metagenome-assembled genome			feces				mouse-associated habitat							mouse gut metagenome				Metagenome-assembled genomes from the Mouse Gastrointestinal Bacteria Catalogue						ERR4128985	MGBC158146		Bacteroides uniformis		Illumina										multi-marker approach		
GCA_948709745.1	GB_GCA_948709745.1	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides uniformis	94.83	0.04	3985436	46.95187289235932	52709	123	SAMEA112430258	Faeces	none	f	t	f	GCA_948709745.1	SAMEA112430258			ERC000047	2023-02-03	2023-02-03	SAMEA112430258		UNIVERSITY OF CAMBRIDGE	UNIVERSITY OF CAMBRIDGE	2023-02-03T00:48:08Z	2023-02-03T00:48:08Z	public	MGBC160079				Many fragments with little to no review of assembly other than reporting of standard assembly statistics	metaSPAdes_v3.10.1			default parameters, kmer: 4	metaWRAP (MetaBAT2, MaxBin2 and CONCOCT)						not provided		96.45	CheckM		0.00						mouse gut		Faeces							Singapore	not provided	not provided									metagenome-assembled genome			feces				mouse-associated habitat							mouse gut metagenome				Metagenome-assembled genomes from the Mouse Gastrointestinal Bacteria Catalogue						ERR4129517	MGBC160079		Bacteroides uniformis		Illumina										multi-marker approach		
GCA_948709925.1	GB_GCA_948709925.1	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides uniformis	93.58	0.49	4299455	46.81803115292333	91487	95	SAMEA112427427	Faeces	none	f	t	f	GCA_948709925.1	SAMEA112427427			ERC000047	2023-02-03	2023-02-03	SAMEA112427427		UNIVERSITY OF CAMBRIDGE	UNIVERSITY OF CAMBRIDGE	2023-02-03T00:51:00Z	2023-02-03T00:51:00Z	public	MGBC157216				Many fragments with little to no review of assembly other than reporting of standard assembly statistics	metaSPAdes_v3.10.1			default parameters, kmer: 4	metaWRAP (MetaBAT2, MaxBin2 and CONCOCT)						not provided		96.74	CheckM		0.28						mouse gut		Faeces							Singapore	not provided	not provided									metagenome-assembled genome			feces				mouse-associated habitat							mouse gut metagenome				Metagenome-assembled genomes from the Mouse Gastrointestinal Bacteria Catalogue						ERR4105906	MGBC157216		Bacteroides uniformis		Illumina										multi-marker approach		
GCA_948729315.1	GB_GCA_948729315.1	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides uniformis	93.69	0.51	4139840	46.870725785996406	31983	221	SAMEA112423325	Faeces	none	f	t	f	GCA_948729315.1	SAMEA112423325			ERC000047	2023-02-03	2023-02-03	SAMEA112423325		UNIVERSITY OF CAMBRIDGE	UNIVERSITY OF CAMBRIDGE	2023-02-03T00:51:50Z	2023-02-03T00:51:50Z	public	MGBC153099				Many fragments with little to no review of assembly other than reporting of standard assembly statistics	metaSPAdes_v3.10.1			default parameters, kmer: 4	metaWRAP (MetaBAT2, MaxBin2 and CONCOCT)						not provided		97.94	CheckM		0.06						mouse gut		Faeces							Singapore	not provided	not provided									metagenome-assembled genome			feces				mouse-associated habitat							mouse gut metagenome				Metagenome-assembled genomes from the Mouse Gastrointestinal Bacteria Catalogue						ERR4091824	MGBC153099		Bacteroides uniformis		Illumina										multi-marker approach		
GCA_948757455.1	GB_GCA_948757455.1	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides uniformis	91.42	1.68	4035412	47.00138184254925	63561	89	SAMEA112427409	Faeces	none	f	t	f	GCA_948757455.1	SAMEA112427409			ERC000047	2023-02-03	2023-02-03	SAMEA112427409		UNIVERSITY OF CAMBRIDGE	UNIVERSITY OF CAMBRIDGE	2023-02-03T00:50:50Z	2023-02-03T00:50:50Z	public	MGBC157198				Many fragments with little to no review of assembly other than reporting of standard assembly statistics	metaSPAdes_v3.10.1			default parameters, kmer: 4	metaWRAP (MetaBAT2, MaxBin2 and CONCOCT)						not provided		82.06	CheckM		0.00						mouse gut		Faeces							Singapore	not provided	not provided									metagenome-assembled genome			feces				mouse-associated habitat							mouse gut metagenome				Metagenome-assembled genomes from the Mouse Gastrointestinal Bacteria Catalogue						ERR4080212	MGBC157198		Bacteroides uniformis		Illumina										multi-marker approach		
GCA_948808825.1	GB_GCA_948808825.1	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides uniformis	95.73	0.38	4399199	46.69586992269325	44527	171	SAMEA112374509	Faeces	none	f	t	f	GCA_948808825.1	SAMEA112374509			ERC000047	2023-02-03	2023-02-03	SAMEA112374509		UNIVERSITY OF CAMBRIDGE	UNIVERSITY OF CAMBRIDGE	2023-02-03T00:36:13Z	2023-02-03T00:36:13Z	public	MGBC100521				Many fragments with little to no review of assembly other than reporting of standard assembly statistics	metaSPAdes_v3.10.1			default parameters, kmer: 4	metaWRAP (MetaBAT2, MaxBin2 and CONCOCT)						not provided		98.50	CheckM		0.56						mouse gut		Faeces							Denmark	55.676097	12.568337									metagenome-assembled genome			feces				mouse-associated habitat							mouse gut metagenome				Metagenome-assembled genomes from the Mouse Gastrointestinal Bacteria Catalogue						ERR982796	MGBC100521		Bacteroides uniformis		Illumina										multi-marker approach		
GCA_948810795.1	GB_GCA_948810795.1	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides uniformis	92.93	0.12	4195447	46.70150761051206	154009	54	SAMEA112430620	Faeces	none	f	t	f	GCA_948810795.1	SAMEA112430620			ERC000047	2023-02-03	2023-02-03	SAMEA112430620		UNIVERSITY OF CAMBRIDGE	UNIVERSITY OF CAMBRIDGE	2023-02-03T00:47:58Z	2023-02-03T00:47:58Z	public	MGBC160441				Many fragments with little to no review of assembly other than reporting of standard assembly statistics	metaSPAdes_v3.10.1			default parameters, kmer: 4	metaWRAP (MetaBAT2, MaxBin2 and CONCOCT)						not provided		96.72	CheckM		0.00						mouse gut		Faeces							Singapore	not provided	not provided									metagenome-assembled genome			feces				mouse-associated habitat							mouse gut metagenome				Metagenome-assembled genomes from the Mouse Gastrointestinal Bacteria Catalogue						ERR4065476	MGBC160441		Bacteroides uniformis		Illumina										multi-marker approach		
GCA_948810825.1	GB_GCA_948810825.1	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides uniformis	94.12	0.12	4312459	46.70454837977291	98729	79	SAMEA112435674	Faeces	none	f	t	f	GCA_948810825.1	SAMEA112435674			ERC000047	2023-02-03	2023-02-03	SAMEA112435674		UNIVERSITY OF CAMBRIDGE	UNIVERSITY OF CAMBRIDGE	2023-02-03T00:50:18Z	2023-02-03T00:50:18Z	public	MGBC165632				Many fragments with little to no review of assembly other than reporting of standard assembly statistics	metaSPAdes_v3.10.1			default parameters, kmer: 4	metaWRAP (MetaBAT2, MaxBin2 and CONCOCT)						not provided		98.28	CheckM		0.37						mouse gut		Faeces							USA	not provided	not provided									metagenome-assembled genome			feces				mouse-associated habitat							mouse gut metagenome				Metagenome-assembled genomes from the Mouse Gastrointestinal Bacteria Catalogue						SRR13102897	MGBC165632		Bacteroides uniformis		Illumina										multi-marker approach		
GCA_948812155.1	GB_GCA_948812155.1	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides uniformis	93.77	0.34	4245472	46.76444061072637	79442	97	SAMEA112429575	Faeces	none	f	t	f	GCA_948812155.1	SAMEA112429575			ERC000047	2023-02-03	2023-02-03	SAMEA112429575		UNIVERSITY OF CAMBRIDGE	UNIVERSITY OF CAMBRIDGE	2023-02-03T00:50:20Z	2023-02-03T00:50:20Z	public	MGBC159384				Many fragments with little to no review of assembly other than reporting of standard assembly statistics	metaSPAdes_v3.10.1			default parameters, kmer: 4	metaWRAP (MetaBAT2, MaxBin2 and CONCOCT)						not provided		97.97	CheckM		0.07						mouse gut		Faeces							Singapore	not provided	not provided									metagenome-assembled genome			feces				mouse-associated habitat							mouse gut metagenome				Metagenome-assembled genomes from the Mouse Gastrointestinal Bacteria Catalogue						ERR4084565	MGBC159384		Bacteroides uniformis		Illumina										multi-marker approach		
GCA_948815325.1	GB_GCA_948815325.1	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides uniformis	98.5	0.09	4237894	46.614181812518495	92155	59	SAMEA112426717	Faeces	none	f	t	f	GCA_948815325.1	SAMEA112426717			ERC000047	2023-02-03	2023-02-03	SAMEA112426717		UNIVERSITY OF CAMBRIDGE	UNIVERSITY OF CAMBRIDGE	2023-02-03T00:48:34Z	2023-02-03T00:48:34Z	public	MGBC156500				Many fragments with little to no review of assembly other than reporting of standard assembly statistics	metaSPAdes_v3.10.1			default parameters, kmer: 4	metaWRAP (MetaBAT2, MaxBin2 and CONCOCT)						not provided		97.38	CheckM		0.00						mouse gut		Faeces							Singapore	not provided	not provided									metagenome-assembled genome			feces				mouse-associated habitat							mouse gut metagenome				Metagenome-assembled genomes from the Mouse Gastrointestinal Bacteria Catalogue						ERR4094220	MGBC156500		Bacteroides uniformis		Illumina										multi-marker approach		
GCA_948878225.1	GB_GCA_948878225.1	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides uniformis	90.64	0.05	4149666	46.70945796457511	31457	171	SAMEA112435705	Faeces	none	f	t	f	GCA_948878225.1	SAMEA112435705			ERC000047	2023-02-03	2023-02-03	SAMEA112435705		UNIVERSITY OF CAMBRIDGE	UNIVERSITY OF CAMBRIDGE	2023-02-03T00:50:45Z	2023-02-03T00:50:45Z	public	MGBC165663				Many fragments with little to no review of assembly other than reporting of standard assembly statistics	metaSPAdes_v3.10.1			default parameters, kmer: 4	metaWRAP (MetaBAT2, MaxBin2 and CONCOCT)						not provided		95.72	CheckM		0.37						mouse gut		Faeces							USA	not provided	not provided									metagenome-assembled genome			feces				mouse-associated habitat							mouse gut metagenome				Metagenome-assembled genomes from the Mouse Gastrointestinal Bacteria Catalogue						SRR13102913	MGBC165663		Bacteroides uniformis		Illumina										multi-marker approach		
GCA_948883285.1	GB_GCA_948883285.1	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides uniformis	93.71	0.16	4250808	46.701601160373	54942	125	SAMEA112379592	Faeces	none	f	t	f	GCA_948883285.1	SAMEA112379592			ERC000047	2023-02-03	2023-02-03	SAMEA112379592		UNIVERSITY OF CAMBRIDGE	UNIVERSITY OF CAMBRIDGE	2023-02-03T00:37:10Z	2023-02-03T00:37:10Z	public	MGBC105726				Many fragments with little to no review of assembly other than reporting of standard assembly statistics	metaSPAdes_v3.10.1			default parameters, kmer: 4	metaWRAP (MetaBAT2, MaxBin2 and CONCOCT)						not provided		97.73	CheckM		0.37						mouse gut		Faeces							Norway	22.55545	114.05433									metagenome-assembled genome			feces				mouse-associated habitat							mouse gut metagenome				Metagenome-assembled genomes from the Mouse Gastrointestinal Bacteria Catalogue						ERR675502	MGBC105726		Bacteroides uniformis		Illumina										multi-marker approach		
GCA_948936875.1	GB_GCA_948936875.1	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides uniformis	91.02	0.21	4164794	47.06425360533946	69059	93	SAMEA112427767	Faeces	none	f	t	f	GCA_948936875.1	SAMEA112427767			ERC000047	2023-02-03	2023-02-03	SAMEA112427767		UNIVERSITY OF CAMBRIDGE	UNIVERSITY OF CAMBRIDGE	2023-02-03T00:51:58Z	2023-02-03T00:51:58Z	public	MGBC157560				Many fragments with little to no review of assembly other than reporting of standard assembly statistics	metaSPAdes_v3.10.1			default parameters, kmer: 4	metaWRAP (MetaBAT2, MaxBin2 and CONCOCT)						not provided		93.12	CheckM		0.87						mouse gut		Faeces							Singapore	not provided	not provided									metagenome-assembled genome			feces				mouse-associated habitat							mouse gut metagenome				Metagenome-assembled genomes from the Mouse Gastrointestinal Bacteria Catalogue						ERR4077398	MGBC157560		Bacteroides uniformis		Illumina										multi-marker approach		
GCA_948937055.1	GB_GCA_948937055.1	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides uniformis	95.27	2.3	4322764	46.16708585261311	395817	34	SAMEA112408598	Faeces	none	f	t	f	GCA_948937055.1	SAMEA112408598			ERC000047	2023-02-03	2023-02-03	SAMEA112408598		UNIVERSITY OF CAMBRIDGE	UNIVERSITY OF CAMBRIDGE	2023-02-03T00:46:11Z	2023-02-03T00:46:11Z	public	MGBC135691				Many fragments with little to no review of assembly other than reporting of standard assembly statistics	metaSPAdes_v3.10.1			default parameters, kmer: 4	metaWRAP (MetaBAT2, MaxBin2 and CONCOCT)						not provided		96.65	CheckM		0.31						mouse gut		Faeces							USA	37.767815	-122.39416									metagenome-assembled genome			feces				mouse-associated habitat							mouse gut metagenome				Metagenome-assembled genomes from the Mouse Gastrointestinal Bacteria Catalogue						SRR5927709	MGBC135691		Bacteroides uniformis		Illumina										multi-marker approach		
GCA_948940695.1	GB_GCA_948940695.1	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides uniformis	93.39	0.15	4219812	46.67859589081679	83256	78	SAMEA112375804	Faeces	none	f	t	f	GCA_948940695.1	SAMEA112375804			ERC000047	2023-02-03	2023-02-03	SAMEA112375804		UNIVERSITY OF CAMBRIDGE	UNIVERSITY OF CAMBRIDGE	2023-02-03T00:36:18Z	2023-02-03T00:36:18Z	public	MGBC101827				Many fragments with little to no review of assembly other than reporting of standard assembly statistics	metaSPAdes_v3.10.1			default parameters, kmer: 4	metaWRAP (MetaBAT2, MaxBin2 and CONCOCT)						not provided		97.90	CheckM		0.37						mouse gut		Faeces							Denmark	55.676097	12.568337									metagenome-assembled genome			feces				mouse-associated habitat							mouse gut metagenome				Metagenome-assembled genomes from the Mouse Gastrointestinal Bacteria Catalogue						ERR982846	MGBC101827		Bacteroides uniformis		Illumina										multi-marker approach		
GCA_948942565.1	GB_GCA_948942565.1	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides uniformis	90.69	0.13	4169436	46.91481967905172	11667	611	SAMEA112379771	Faeces	none	f	t	f	GCA_948942565.1	SAMEA112379771			ERC000047	2023-02-03	2023-02-03	SAMEA112379771		UNIVERSITY OF CAMBRIDGE	UNIVERSITY OF CAMBRIDGE	2023-02-03T00:36:23Z	2023-02-03T00:36:23Z	public	MGBC105905				Many fragments with little to no review of assembly other than reporting of standard assembly statistics	metaSPAdes_v3.10.1			default parameters, kmer: 4	metaWRAP (MetaBAT2, MaxBin2 and CONCOCT)						not provided		95.30	CheckM		0.09						mouse gut		Faeces							Norway	22.55545	114.05433									metagenome-assembled genome			feces				mouse-associated habitat							mouse gut metagenome				Metagenome-assembled genomes from the Mouse Gastrointestinal Bacteria Catalogue						ERR675510	MGBC105905		Bacteroides uniformis		Illumina										multi-marker approach		
